Date,Open,High,Low,Close,Volume
2025-04-25 13:30:00,206.35,209.07,206.2,208.21,36809.8
2025-04-25 14:00:00,208.23,209.25,206.51,207.31,37805.21
2025-04-25 15:00:00,207.31,207.64,206.66,207.5,21574.58
2025-04-25 16:00:00,207.49,208.9,207.47,208.68,19524.86
2025-04-25 17:00:00,208.66,209.42,207.33,208.1,25294.76
2025-04-25 18:00:00,208.09,208.83,207.9,208.38,15390.23
2025-04-25 19:00:00,208.38,209.75,207.87,209.23,42096.86
2025-04-28 13:30:00,210.06,211.5,208.95,209.39,41002.86
2025-04-28 14:00:00,209.39,209.82,208.73,209.04,31980.18
2025-04-28 15:00:00,209.03,209.53,207.58,207.96,24747.76
2025-04-28 16:00:00,207.95,208.73,207.46,208.45,17036.3
2025-04-28 17:00:00,208.43,209.86,207.91,209.75,18367.26
2025-04-28 18:00:00,209.73,210.1,209.46,209.84,18877.64
2025-04-28 19:00:00,209.87,211.5,209.8,210.09,38358.5
2025-04-29 13:30:00,208.8,211.25,208.37,210.8,25253.33
2025-04-29 14:00:00,210.81,212.24,210.33,211.61,34921.41
2025-04-29 15:00:00,211.62,211.8,210.4,210.62,19259.73
2025-04-29 16:00:00,210.62,211.33,209.35,209.73,19017.87
2025-04-29 17:00:00,209.74,211.75,209.5,211.58,17190.94
2025-04-29 18:00:00,211.59,211.97,211.16,211.3,16061.73
2025-04-29 19:00:00,211.3,211.9,210.95,211.24,34745.96
2025-04-30 13:30:00,209.26,209.72,206.67,207.14,31211.7
2025-04-30 14:00:00,207.19,209.75,207.14,209.64,28716.03
2025-04-30 15:00:00,209.59,211.13,209.56,211.05,23707.32
2025-04-30 16:00:00,211.04,211.36,210.22,210.92,17626.2
2025-04-30 17:00:00,210.92,211.85,209.8,211.1,18172.59
2025-04-30 18:00:00,211.13,212.97,210.31,210.65,27067.87
2025-04-30 19:00:00,210.66,213.58,210.05,212.49,62135.83
2025-05-01 13:30:00,209.08,212.5,208.9,210.68,50682.05
2025-05-01 14:00:00,210.8,213.09,209.71,212.89,47963.91
2025-05-01 15:00:00,212.89,214.27,211.41,211.58,35639.3
2025-05-01 16:00:00,211.6,212.85,211.53,212.14,23037.26
2025-05-01 17:00:00,212.12,212.88,212.06,212.59,18568.28
2025-05-01 18:00:00,212.59,213.2,212.52,212.55,21543.27
2025-05-01 19:00:00,212.55,214.56,212.3,212.83,70508.37
2025-05-02 13:30:00,206.09,206.43,202.16,203.79,146776.14
2025-05-02 14:00:00,203.77,206.99,203.25,205.18,117041.06
2025-05-02 15:00:00,205.19,205.73,204.6,205.48,53652.62
2025-05-02 16:00:00,205.49,206.58,204.86,204.94,68327.92
2025-05-02 17:00:00,204.93,205.83,204.15,205.4,51043.51
2025-05-02 18:00:00,205.39,205.61,204.09,204.18,48521.22
2025-05-02 19:00:00,204.17,205.5,203.66,205.3,104501.11
2025-05-05 13:30:00,203.1,204.1,199.5,199.73,68605.49
2025-05-05 14:00:00,199.76,200.34,198.21,198.93,80389.73
2025-05-05 15:00:00,198.91,199.65,198.5,199.28,50906.62
2025-05-05 16:00:00,199.28,200.04,199.1,199.89,39370.78
2025-05-05 17:00:00,199.88,200.64,199.67,200.37,35376.49
2025-05-05 18:00:00,200.37,201.16,200.16,200.53,32951.37
2025-05-05 19:00:00,200.52,200.52,198.51,198.77,73203.79
2025-05-06 13:30:00,198.17,199.88,197.02,197.65,55011.7
2025-05-06 14:00:00,197.66,199.51,197.65,198.3,50153.5
2025-05-06 15:00:00,198.27,199.45,197.95,198.81,35080.08
2025-05-06 16:00:00,198.83,200.65,198.7,199.5,33695.82
2025-05-06 17:00:00,199.52,200.03,198.69,199.01,23760.1
2025-05-06 18:00:00,199.03,199.85,198.8,199.85,23225.89
2025-05-06 19:00:00,199.84,200.17,198.37,198.41,46737.2
2025-05-07 13:30:00,199.17,199.37,197.35,197.81,41530.21
2025-05-07 14:00:00,197.81,199.44,197.44,197.47,38602.31
2025-05-07 15:00:00,197.48,197.51,193.25,195.11,104726.76
2025-05-07 16:00:00,195.1,195.78,194.51,195.62,40327.02
2025-05-07 17:00:00,195.62,195.76,194.23,194.66,28429.5
2025-05-07 18:00:00,194.62,195.71,193.3,195.44,40631.9
2025-05-07 19:00:00,195.44,197.47,194.12,196.22,63814.89
2025-05-08 13:30:00,197.73,198.13,196.08,196.15,37231.47
2025-05-08 14:00:00,196.17,197.25,194.67,196.62,57653.19
2025-05-08 15:00:00,196.58,199.75,196.41,199.34,50888.74
2025-05-08 16:00:00,199.34,200.05,199.01,199.72,32767.97
2025-05-08 17:00:00,199.72,199.85,198.3,198.32,23789.91
2025-05-08 18:00:00,198.32,199.26,198.08,198.62,26541.4
2025-05-08 19:00:00,198.62,199.69,197.16,197.4,57114.17
2025-05-09 13:30:00,199.0,200.54,198.39,199.75,37221.34
2025-05-09 14:00:00,199.75,200.24,197.53,198.38,46418.57
2025-05-09 15:00:00,198.38,199.18,198.14,198.76,27102.36
2025-05-09 16:00:00,198.72,198.76,197.75,197.97,22373.12
2025-05-09 17:00:00,197.96,198.82,197.6,198.71,22336.73
2025-05-09 18:00:00,198.71,199.14,198.47,198.93,19134.77
2025-05-09 19:00:00,198.93,199.43,198.34,198.54,41906.13
2025-05-12 13:30:00,211.04,211.26,206.75,208.53,98654.88
2025-05-12 14:00:00,208.53,210.23,208.46,209.12,82647.78
2025-05-12 15:00:00,209.12,209.13,208.11,208.43,35529.47
2025-05-12 16:00:00,208.43,209.56,208.25,209.23,29103.08
2025-05-12 17:00:00,209.23,210.88,209.2,210.62,33050.57
2025-05-12 18:00:00,210.64,211.15,210.48,210.62,31069.89
2025-05-12 19:00:00,210.61,210.92,209.92,210.83,63081.69
2025-05-13 13:30:00,210.37,211.61,209.0,209.93,52097.64
2025-05-13 14:00:00,209.93,211.88,209.78,211.5,53218.92
2025-05-13 15:00:00,211.51,211.61,210.48,210.89,34887.1
2025-05-13 16:00:00,210.9,211.64,210.65,211.48,23213.9
2025-05-13 17:00:00,211.5,212.97,211.35,212.5,34321.96
2025-05-13 18:00:00,212.5,212.75,212.03,212.55,25287.99
2025-05-13 19:00:00,212.53,213.4,212.45,212.84,56971.59
2025-05-14 13:30:00,212.43,213.61,211.85,213.11,48430.65
2025-05-14 14:00:00,213.11,213.94,212.37,212.98,47425.39
2025-05-14 15:00:00,212.98,213.1,211.88,212.39,30653.75
2025-05-14 16:00:00,212.38,212.64,211.97,212.01,21661.68
2025-05-14 17:00:00,212.0,212.03,210.58,211.7,32362.81
2025-05-14 18:00:00,211.7,212.05,211.19,211.4,24906.88
2025-05-14 19:00:00,211.4,212.68,210.99,212.41,61175.02
2025-05-15 13:30:00,210.95,212.53,210.08,210.42,42003.44
